player,total_hands,vpip_hands,pfr_hands,channels_played_count,months_played_count,channels_played,VPIP,PFR,heuristic_label,vpip_minus_pfr,cluster
JDKen,96,68,38,1,1,holdem,70.83333333333334,39.58333333333333,LAG,31.25000000000001,3
testy,96,39,19,1,1,holdem,40.625,19.791666666666664,LAG,20.833333333333336,0
DaGooNess,96,56,10,1,2,holdem,58.333333333333336,10.416666666666668,Fish,47.91666666666667,2
Sorcier,96,48,4,2,3,"holdem,holdem1",50.0,4.166666666666666,Fish,45.833333333333336,0
idealem,96,56,7,1,1,holdem,58.333333333333336,7.291666666666667,Fish,51.04166666666667,2
JamesKirk,96,36,8,1,2,holdem,37.5,8.333333333333332,Fish,29.166666666666668,0
jiuu,96,77,33,1,1,holdem,80.20833333333334,34.375,LAG,45.83333333333334,3
eagleeye,96,59,18,1,1,holdem,61.458333333333336,18.75,LAG,42.708333333333336,2
lehead,96,44,23,2,2,"holdem,holdem1",45.83333333333333,23.958333333333336,LAG,21.874999999999996,0
pcjcusa,96,52,6,1,1,holdem,54.16666666666666,6.25,Fish,47.91666666666666,2
donate,96,74,74,1,1,holdem,77.08333333333334,77.08333333333334,LAG,0.0,1
ko7,96,53,9,1,1,holdem,55.208333333333336,9.375,Fish,45.833333333333336,2
kurtaus,96,68,21,1,2,holdem,70.83333333333334,21.875,LAG,48.95833333333334,3
Crystal,96,82,12,1,1,holdem,85.41666666666666,12.5,Fish,72.91666666666666,2
Tull,96,32,18,1,1,holdem,33.33333333333333,18.75,LAG,14.583333333333329,0
DrJ^,96,32,21,1,2,holdem,33.33333333333333,21.875,LAG,11.458333333333329,0
OhFerday,96,22,11,2,4,"holdem,holdem1",22.916666666666664,11.458333333333332,Rock,11.458333333333332,0
OK363,95,88,13,1,2,holdem,92.63157894736842,13.684210526315791,Fish,78.94736842105263,2
sparkles,95,61,15,1,1,holdem1,64.21052631578948,15.789473684210526,LAG,48.42105263157895,2
Grubster,95,73,12,1,4,holdem,76.84210526315789,12.63157894736842,Fish,64.21052631578947,2
Ex-Lax,95,40,16,1,2,holdem,42.10526315789473,16.842105263157894,LAG,25.26315789473684,0
Gregarius,95,61,4,1,6,holdem,64.21052631578948,4.2105263157894735,Fish,60.00000000000001,2
cx9,95,90,90,1,3,holdem,94.73684210526316,94.73684210526316,LAG,0.0,1
Hister,95,59,41,1,1,holdem,62.10526315789474,43.15789473684211,LAG,18.94736842105263,3
hones,95,61,10,1,1,holdem,64.21052631578948,10.526315789473683,Fish,53.6842105263158,2
The_Kid_,95,32,0,1,1,holdem,33.68421052631579,0.0,Fish,33.68421052631579,0
shlitzer,95,80,40,1,1,holdem,84.21052631578947,42.10526315789473,LAG,42.10526315789473,3
teresa,95,29,9,1,2,holdem,30.526315789473685,9.473684210526317,Fish,21.05263157894737,0
Celebrity,95,18,4,1,1,holdem,18.947368421052637,4.2105263157894735,Rock,14.73684210526316,0
Tamate,95,68,13,1,1,holdem,71.57894736842105,13.684210526315791,Fish,57.89473684210526,2
Gandalf,95,41,5,2,2,"holdem,holdem1",43.15789473684211,5.263157894736842,Fish,37.89473684210527,0
Thugsta,95,43,30,1,1,holdem,45.26315789473684,31.57894736842105,LAG,13.684210526315791,3
jc^,95,27,13,1,1,holdem,28.421052631578945,13.684210526315791,Fish,14.736842105263154,0
Glitter1,95,71,10,1,1,holdem,74.73684210526315,10.526315789473683,Fish,64.21052631578947,2
ashrimp,95,15,1,1,1,holdem,15.789473684210526,1.0526315789473684,Rock,14.736842105263158,0
griffeyjr,95,49,13,1,1,holdem,51.578947368421055,13.684210526315791,Fish,37.89473684210526,2
Pal,95,42,5,2,1,"holdem,holdem1",44.21052631578947,5.263157894736842,Fish,38.94736842105263,0
tasha,95,71,18,1,1,holdem,74.73684210526315,18.947368421052637,LAG,55.78947368421052,2
Bone,95,25,7,1,4,holdem,26.31578947368421,7.368421052631578,Fish,18.94736842105263,0
Monte,95,64,60,1,2,holdem,67.36842105263158,63.1578947368421,LAG,4.210526315789473,1
