Data      810600137  4  2 B   -     -     -         4175   20   30 
Data      810600145  4  1 Bf  -     -     -         4185   10    0 
Data      810600164  4  4 cc  r     f     -         4175   80    0 
Data      810600198  3  2 Bc  kc    kr    -         4095  140  250 
Data      810600224  3  1 Bc  kf    -     -         4205   20    0 
Data      810600245  4  4 f   -     -     -         4185    0    0 
Data      810600275  4  3 f   -     -     -         4185    0    0 
Data      810600290  4  2 Bf  -     -     -         4185   20    0 
Data      810600300  3  1 Bf  -     -     -         4165   10    0 
Data      810600308  3  3 f   -     -     -         4155    0    0 
Data      810600337  3  2 Bk  k     k     k         4155   20    0 Jc 4d
Data      810600378  3  1 Bf  -     -     -         4135   10    0 
Data      810600382  3  3 r   b     -     -         4125   60  110 
Data      810600395  3  2 B   -     -     -         4175   20   30 
Data      810600399  3  1 Bf  -     -     -         4185   10    0 
Data      810600421  3  3 r   r     bc    f         4175  160    0 
Data      810600447  3  2 Br  f     -     -         4015   40    0 
Data      810600462  3  1 Bc  k     k     b         3975   60   80 
Data      810600484  3  3 Q   -     -     -         3995    0    0 
Data      810605292  2  1 Brc b     b     kf        4010  120    0 
Data      810605317  2  2 B   -     -     -         3890   20   30 
Data      810605320  2  1 Bf  -     -     -         3900   10    0 
Data      810605323  3  3 r   f     -     -         3890   40    0 
Data      810605349  3  2 Bk  b     k     k         3850   40   80 8s 3s
Data      810605381  4  1 Bc  kf    -     -         3890   20    0 
Data      810605419  4  4 f   -     -     -         3870    0    0 
Data      810605425  4  3 f   -     -     -         3870    0    0 
Data      810605433  4  2 Bc  k     bc    kc        3870  160    0 4d Ah
Data      810605471  4  1 Bc  k     b     b         3710  120  220 
Data      810605500  4  4 r   k     b     -         3810   80  140 
Data      810605521  4  3 rc  c     f     -         3870   80    0 
Data      810605546  4  2 Bc  kf    -     -         3790   40    0 
Data      810605557  4  1 Bc  k     k     k         3750   20    0 8s Kh
Data      810605602  4  4 r   k     k     k         3730   40   90 Ks Jh
Data      810605634  4  3 f   -     -     -         3780    0    0 
Data      810605679  4  2 Bf  -     -     -         3780   20    0 
Data      810605689  4  1 Bc  b     k     b         3760   80  180 Kc Ts
Data      810605721  5  5 f   -     -     -         3860    0    0 
Data      810605728  5  4 r   c     c     f         3860  100    0 
Data      810605761  5  3 f   -     -     -         3760    0    0 
Data      810605792  5  2 Bk  k     f     -         3760   20    0 
Data      810605888  4  1 Br  -     -     -         3740   40   60 
Data      810605903  5  5 f   -     -     -         3760    0    0 
Data      810605917  5  4 f   -     -     -         3760    0    0 
Data      810605953  5  3 cc  k     kc    k         3760   80  190 4c 3c
Data      810605985  5  2 Br  k     c     b         3870  120  200 
Data      810606023  5  1 Bc  k     b     -         3950   60   80 
Data      810606048  5  5 f   -     -     -         3970    0    0 
Data      810606078  5  5 c   f     -     -         3970   20    0 
Data      810606145  6  5 f   -     -     -         3950    0    0 
Data      810606160  6  4 f   -     -     -         3950    0    0 
Data      810606219  6  3 c   kc    kr    bc        3950  200    0 4h 5h
Data      810606321  5  1 Bk  k     b     -         3750   60  100 
Data      810606405  3  1 Bf  -     -     -         3790   10    0 
Data      810606409  3  3 f   -     -     -         3780    0    0 
Data      810606412  3  2 Bk  b     -     -         3780   40   60 
Data      810606432  3  1 Bc  kf    -     -         3800   40    0 
Data      810606463  3  3 r   k     c     c         3760  120  125 5d 6d
Data      810606484  3  2 Bk  c     b     -         3765   80  160 
Data      810606508  3  1 Bf  -     -     -         3845   10    0 
Data      810606514  3  3 f   -     -     -         3835    0    0 
Data      810606520  3  2 Bc  kc    kf    -         3835   60    0 
Data      810606537  3  1 Br  b     -     -         3775   60  100 
Data      810606552  3  3 r   c     f     -         3815   60    0 
Data      810606564  3  2 B   -     -     -         3755   20   30 
Data      810606570  3  1 Bc  b     b     b         3765  140    0 9d Kc
Data      810606588  3  3 f   -     -     -         3625    0    0 
Data      810606594  3  2 Br  r     rf    -         3625  160    0 
Data      810606616  3  1 Bf  -     -     -         3465   10    0 
Data      810606627  3  3 rc  k     c     f         3455  100    0 
Data      810606657  3  2 B   -     -     -         3355   20   30 
Data      810606662  2  1 Brc k     k     k         3365   60    0 5d 9d
Data      810606680  2  2 B   -     -     -         3305   20   30 
Data      810606687  2  1 Bf  -     -     -         3315   10    0 
Data      810606689  2  2 B   -     -     -         3305   20   30 
Data      810606692  2  1 Bf  -     -     -         3315   10    0 
Data      810606696  2  2 Bc  f     -     -         3305   40    0 
Data      810606703  2  1 Bcc k     kc    kc        3265  120    0 8c Ad
Data      810606719  2  2 Bf  -     -     -         3145   20    0 
Data      810606724  2  1 Bf  -     -     -         3125   10    0 
Data      810606728  2  2 B   -     -     -         3115   20   30 
Data      810606731  2  1 Bf  -     -     -         3125   10    0 
Data      810606733  2  2 B   -     -     -         3115   20   30 
Data      810606736  2  1 Bc  b     -     -         3125   40   60 
Data      810606744  2  2 Bk  f     -     -         3145   20    0 
Data      810606752  2  1 Bc  k     b     -         3125   60   80 
Data      810606773  2  2 B   -     -     -         3145   20   30 
Data      810606777  2  1 Bcc k     kr    bc        3155  200  400 5c Qc
Data      810606805  2  2 Bk  b     -     -         3355   40   60 
Data      810606824  2  1 Bc  b     -     -         3375   40   60 
Data      810606849  2  2 B   -     -     -         3395   20   30 
Data      810606850  2  1 Bf  -     -     -         3405   10    0 
Data      810606853  2  2 B   -     -     -         3395   20   30 
Data      810606867  2  1 Bf  -     -     -         3405   10    0 
Data      810606869  2  2 B   -     -     -         3395   20   30 
Data      810606889  2  1 Bc  b     bf    -         3405   80    0 
Data      810606917  2  2 B   -     -     -         3325   20   30 
Data      810606921  2  1 Bc  k     b     -         3335   60   80 
Data      810606950  2  2 Bf  -     -     -         3355   20    0 
Data      810606954  2  1 Bf  -     -     -         3335   10    0 
Data      810606956  2  2 Bf  -     -     -         3325   20    0 
Data      810606960  2  1 Br  -     -     -         3305   40   60 
Data      810606964  2  2 Br  c     b     c         3325  160    0 9s Ad
Data      810606985  2  1 Bf  -     -     -         3165   10    0 
Data      810606994  2  2 Bc  b     -     -         3155   60  100 
Data      810607010  2  1 Bf  -     -     -         3195   10    0 
Data      810607013  2  2 Bf  -     -     -         3185   20    0 
Data      810607019  2  1 Br  -     -     -         3165   40   60 
Data      810607024  2  2 Bk  k     b     -         3185   60   80 
Data      810607038  2  1 Bf  -     -     -         3205   10    0 
Data      810607041  2  2 B   -     -     -         3195   20   30 
Data      810607043  2  1 Bf  -     -     -         3205   10    0 
Data      810607046  2  2 Bk  b     c     c         3195  120    0 9h 8c
Data      810607062  2  1 Bc  b     kf    -         3075   40    0 
Data      810607101  2  2 Bf  -     -     -         3035   20    0 
Data      810607104  2  1 Bf  -     -     -         3015   10    0 
Data      810607107  2  2 Br  -     -     -         3005   60  100 
Data      810607113  2  1 Brc b     k     b         3045  120    0 7d 6d
Data      810607135  2  2 Bf  -     -     -         2925   20    0 
Data      810607137  2  1 Br  -     -     -         2905   40   60 
Data      810607141  2  2 B   -     -     -         2925   20   30 
Data      810607145  2  1 Br  -     -     -         2935   40   60 
Data      810607149  2  2 Bk  c     b     b         2955  120    0 3h 6h
